id,PyEGo,DockerizeMe,pipreqs,PyEGo-s2,PyEGo-s3
2e3b989e0343f0884388ed7ed82eb3b0,√,×,×,√,×
52ec27e3010a3fd852e1d0d6e2ab5180,×,√,×,×,×
1233846,×,×,×,×,×
20a36f89546854cc434ecee70522cb8d,×,×,×,×,×
4190318,√,√,×,√,√
1361643,×,×,×,×,×
6467595,×,×,×,×,×
5540702,√,√,×,√,√
5057356,×,√,√,×,×
6175388,×,×,×,×,×
9372073,×,×,×,×,×
6118172,×,×,×,×,×
bb160e63686f517c93a937f46714dd03,√,√,√,√,√
5719077,×,×,×,×,×
c503014bbb03088bec37a61231036461,√,√,×,√,√
8183993,√,√,×,√,√
1792428,×,×,×,×,×
4555097,×,×,×,×,×
4463756,√,√,×,√,√
396e85fe4facca626782,√,×,√,√,√
890640,×,×,×,×,×
69dfe7943b076f0d79db,×,×,×,×,×
5284646,√,×,×,√,√
1cb4d81fed37fd06ef60d08c1181f557,×,√,×,×,×
2142891,√,√,×,√,√
8abe1d2f62400f87958d,×,×,×,×,×
1589531,√,×,×,√,√
e28813c1e8721830ff9c,√,√,×,√,√
4171521,√,×,×,√,√
3833430,√,√,×,√,√
fa287fc6448f84004284f5c086f59661,×,×,×,×,×
2661065,×,×,×,×,×
8983536,√,√,√,√,×
c9792757a9fc02d01408bf30855d412f,√,√,×,√,√
8638475,×,×,×,×,×
1283684,×,×,×,×,×
2584789,×,×,×,×,×
1694496,√,×,×,×,√
867684,×,×,×,×,×
1927a29f642593861afc,√,√,×,×,√
3688944,√,√,×,√,√
6044677,√,×,×,√,√
c7a37230842f82fc51eaecf855fbf7ab,√,×,√,√,×
11378945,√,√,×,√,√
1526444,√,√,×,√,√
712c270355b6c2642600,×,√,√,×,×
d1351610477840bbbb72,×,×,×,×,×
1055992,√,√,×,√,√
5baaf1d206cf5e81436d,√,√,×,×,×
982ce339d5f8c9a769a0,√,√,×,√,×
3130141,×,×,×,×,×
3427750,√,×,×,√,√
191d15e28c39246a2525,√,√,×,√,√
ae2a7adaab133c61a059,×,×,×,×,×
3fe84c05013fa87d74a8,√,×,×,√,√
98b7edca1b29c949fcf1,√,×,×,√,√
3822f77eb07e8e8efb2e,×,×,×,×,×
5208296,×,×,×,×,×
82d3bb091d45b59c1d7674727b1292a7,√,√,√,√,√
4116156,×,×,×,×,×
771426542eb36afeb56ce8b163560a4c,×,×,×,×,×
e9ff0ac61fcb3b1b60ba,√,×,×,√,×
8792346,√,√,×,√,√
4034426,×,×,×,×,×
ed991fb8cdcac3dfadf7,×,×,×,×,×
3691418,√,×,×,√,√
d049a307a271052dc740,√,√,√,√,√
6606487,√,×,×,√,√
18e6b6ed5d69b057e773,×,×,√,×,×
000eccf3d66540d75def,√,×,×,√,√
a5f57e8c9d0aedee285fb6f43cb5900c,√,×,×,√,√
4365814,×,×,×,×,×
7428185,×,×,×,×,×
5855372,×,×,×,×,×
db5ec4ce7c1dbaae4707,√,×,√,√,√
1693769,√,×,×,√,√
11405336,×,×,×,×,×
f7fdb8284643b1c175a9,×,×,×,×,×
5680477,√,√,×,√,√
286805,×,×,×,×,×
7398239,√,×,×,√,√
1701305,×,×,×,×,×
8555125,×,×,×,×,×
48b54ea4cbc7eb014308,√,√,×,√,√
4e97eb41e2b9a80cd5de,×,×,×,×,×
5b769cd2a86bb1270188ffa423941d5f,×,×,×,×,×
0efcacfb43827ba3a6bac3356315c419,√,×,×,√,√
5860168615a35b5b5ef69710d61f02d4,×,×,×,×,×
824628,×,×,×,×,×
3803893,√,×,×,√,√
c6b3e4d47d933b057aab32c9c29c4221,√,×,×,×,×
8372494,×,×,×,×,×
4266068bb3a5e36c2bff,×,×,×,×,×
4260425,√,×,×,√,√
883b3b4a51b0db7d0e0d,√,×,×,√,√
1038987,√,√,×,√,√
6483510,×,×,×,×,×
5612981,×,√,×,×,×
6572592,×,×,×,×,×
7020937,×,×,×,×,×
7ade9bbe4cb46e3cc1b8,×,×,×,×,×
7521277,√,×,√,√,√
1f66e4d58074d64c8268,√,×,×,√,√
689f4a38bc6cb9a7adc0,×,×,×,×,×
3078764,×,×,×,×,×
6003874,×,×,×,×,×
0efb4d07f28af1c8fc1b,×,×,×,×,×
09cae53bf67ea8a39700,√,×,×,√,√
5b4c5ffdcdb5a13e0267,×,×,×,×,×
7524815,√,√,√,√,√
594015,×,√,×,×,√
1567224,×,×,×,×,×
ca851e39229551208c0d,√,√,×,√,√
8e2cf809155062082c838f7346e45fe8,×,×,×,×,×
5690132,×,×,×,×,×
e82c16e0401a77dec92a,×,×,×,×,×
2821234,×,√,×,×,√
c42d76db2ad2e87a5086,√,×,×,×,×
a7c41b072cfa4cc2c592,√,×,×,×,×
1710122,√,×,×,√,√
7b96bba85ed81aba864a,×,×,×,×,×
bb640cebefcc550f357c,×,×,×,×,×
1757120,×,×,×,×,×
8c6446457bcabf6e8e868e8717426ff4,×,×,×,×,×
1160696,×,×,×,×,×
1229681,√,√,×,√,√
5225027,×,×,×,×,×
1920535,×,√,×,×,×
eb6dc49c861a1c21b612b568dd188668,×,×,×,×,×
051e881fc94fe4a49295,√,√,√,√,√
1165344,×,×,×,×,×
5860853,√,√,×,×,√
4365631,√,√,×,√,√
efe482bad12c2fae6afe,√,√,√,√,×
a0a5dd7bfcaac3d3e9c18e5ea1080b95,√,√,×,√,√
14a8d6bf4783f4704c8a,×,×,×,×,×
c70fb69eef42d40bed06,√,√,√,√,√
48d92d4153754aea4504,√,√,×,√,√
3806329,×,×,×,×,×
3682135,√,√,×,√,×
6993747,×,×,×,×,×
3494560,×,×,×,×,×
5488053,√,×,×,√,√
10438748,×,×,×,×,×
b6e374d172bbe3e6130f6849e7bd6c13,√,√,√,√,√
3167821,×,×,×,×,×
4119191,√,√,√,√,√
9507070,√,×,√,√,√
db030013e981c46acb2886060dde607e,√,×,×,×,×
f884a43c59e26199591ec4e234d069f5,×,×,×,×,×
9768713,×,×,×,×,×
2996448,×,×,×,×,×
1815146,×,×,×,×,×
2032745,×,×,×,×,×
f0bc519824e46815939b240c4f6a7553,√,×,×,√,√
5794494,×,×,×,×,×
7671688,×,×,×,×,×
614fc39a78d028c9dce9,×,×,×,×,×
0b42dbd687ae3b838728,√,√,×,√,√
cfc9f059459cfefd1f61134b48291436,√,×,×,√,√
925008,×,×,×,×,×
1534135a419bb0b957b9,√,√,×,×,√
4f4934893388f971c6c5,√,×,×,√,√
ef9e5c352e54769c4d43,√,×,×,√,√
6507189,√,√,×,×,√
2054744,√,√,×,√,√
cd9a1a7c969c06eaae8b,×,×,×,×,×
8974ac739d1ac9f60423,×,×,×,×,×
96ec9b3c5df60a07b216,×,×,×,×,×
7955963,×,×,×,×,×
1935808,×,×,×,×,×
2406a3034b4afb800290,×,×,×,×,×
9d0bf77bf070262ab3cddfc4b79d031b,√,×,×,√,√
6d459a8c2ae945808d69,√,×,×,√,√
735379e9c853171713ca,√,×,×,√,√
1044215,×,×,×,×,×
06336eb10a1628850d6f,√,×,√,×,√
238302,√,×,×,√,√
4964727,√,√,×,√,√
b7beba6f962110596660,×,×,×,×,×
880901,×,×,×,×,×
98b4d7288a2ee7b1319a8ff71d3e2c7b,×,×,×,×,×
3144636,√,√,×,√,√
5079405,√,×,×,√,√
d1426ffad93b786e035e,√,×,×,√,√
f93a377244be9bfcb96d3547b9bc424d,√,×,×,√,√
7f1737a750d8246d325e,√,√,√,√,×
cad6d3d223fc8d769227,√,√,×,√,√
6679768,×,×,×,×,×
dc673da0c531c7a6059b,×,×,×,×,×
1791644,√,√,√,√,√
4893d1a05df86afbc2cf,√,×,√,√,√
69aae99be6f6acfadf2073817c2f61b0,√,×,×,×,√
0a509faf231cff3cdec7,×,×,×,×,×
8f9980999ed43246b9b2,√,√,√,√,√
4078780,√,×,×,×,√
35536ca8f1769dc6c74f,√,√,×,√,√
cc704ba2a96e4a319e9e,×,×,×,×,×
6462976,×,×,×,√,×
4f3a3b3c1828e6d781b624f378890cb0,√,×,×,√,√
a61918cbfae993b68eb17b5b780b7e32,×,×,×,×,×
309bed093f6a7084c855,√,×,×,√,×
4225456,×,×,×,×,×
305322,√,×,×,×,×
c8eb9d0938584a277f90,×,×,×,×,×
1aefa4509e066690b892,×,×,×,×,×
3800756,×,×,×,×,×
e53a70f9e5c3f55852b0,√,√,×,×,×
df9ad5ef01d16c02d68d9a8c17c75b73,×,√,√,×,×
26a33ce1e82092b4d2dbdf18c3610fde,√,√,√,√,√
3168336,√,×,×,√,√
5441636,×,×,×,×,×
de1383080e9f8fb7d208,√,√,×,√,√
6604662,×,×,×,×,×
256155,×,×,×,×,×
88d0ebab5ace81201f04,√,√,×,√,√
2379572,×,×,×,×,×
8b6f09310a847e0a7aed,×,×,×,×,×
5078476,√,×,×,×,√
2972ba872df05cb5f0c3,×,×,×,×,×
4598017,×,×,×,×,×
8831412,×,×,×,×,×
